review_status,slug,title,published_at,published_date_label,publication,section,rights_status,original_url,embedded_url_candidates,review_note
missing_original_url,folder-article-de820de2,পরীক্ষা ছাড়া পাস,2021-01-31,৩১ জানুয়ারি ২০২১,সংবাদ,মতামত,full_text_permitted,,,Original publication URL is not present in the archive record; investigate separately.
missing_original_url,folder-article-0cc48a5f,ক্যাপিটল হিলে হামলা মার্কিন গণতন্ত্রের সংকট,2021-01-17,১৭ জানুয়ারি ২০২১,সংবাদ,মতামত,full_text_permitted,,,Original publication URL is not present in the archive record; investigate separately.
missing_original_url,folder-article-d598e953,করোনার নতুন সংস্করণ ও টিকা,2021-01-03,৩ জানুয়ারি ২০২১,সংবাদ,মতামত,full_text_permitted,,,Original publication URL is not present in the archive record; investigate separately.
missing_original_url,folder-article-605fa9a4,আওয়ামী লীগে অনুপ্রবেশকারী,2021-01-01,২০২১ (তারিখ অনির্দিষ্ট),সংবাদ,মতামত,full_text_permitted,,,Original publication URL is not present in the archive record; investigate separately.
missing_original_url,folder-article-c6adbdd5,আদালতের পর্যবেক্ষণে বাংলাদেশ ব্যাংক,2021-01-01,২০২১ (তারিখ অনির্দিষ্ট),সংবাদ,মতামত,full_text_permitted,,,Original publication URL is not present in the archive record; investigate separately.
missing_original_url,folder-article-3c3d277a,উইঘুর মুসলিমদের ওপর নির্যাতন,2021-01-01,২০২১ (তারিখ অনির্দিষ্ট),সংবাদ,মতামত,full_text_permitted,,,Original publication URL is not present in the archive record; investigate separately.
missing_original_url,folder-article-9d5a9972,টিকটক সোশ্যাল মিডিয়া প্ল্যাটফর্ম,2021-01-01,২০২১ (তারিখ অনির্দিষ্ট),সংবাদ,মতামত,full_text_permitted,,,Original publication URL is not present in the archive record; investigate separately.
missing_original_url,folder-article-64efcb48,প্রধানমন্ত্রীর আশ্রয়ণ প্রকল্প,2021-01-01,২০২১ (তারিখ অনির্দিষ্ট),সংবাদ,মতামত,full_text_permitted,,,Original publication URL is not present in the archive record; investigate separately.
missing_original_url,folder-article-1a8d654e,মন্দা এড়ানোর সাফল্যে বাংলাদেশ,2021-01-01,২০২১ (তারিখ অনির্দিষ্ট),সংবাদ,মতামত,full_text_permitted,,,Original publication URL is not present in the archive record; investigate separately.
missing_original_url,folder-article-ed65f29b,রাষ্ট্রীয় খেতাব বাতিল,2021-01-01,২০২১ (তারিখ অনির্দিষ্ট),সংবাদ,মতামত,full_text_permitted,,,Original publication URL is not present in the archive record; investigate separately.
missing_original_url,folder-article-57660e48,"লকডাউন, না শাটডাউন",2021-01-01,২০২১ (তারিখ অনির্দিষ্ট),সংবাদ,মতামত,full_text_permitted,,,Original publication URL is not present in the archive record; investigate separately.
missing_original_url,folder-article-8383bda9,শহীদ মিনার প্রতিবাদের মঞ্চ,2021-01-01,২০২১ (তারিখ অনির্দিষ্ট),সংবাদ,মতামত,full_text_permitted,,,Original publication URL is not present in the archive record; investigate separately.
missing_original_url,folder-article-d4ee1962,বাঘা যতীনের ভাস্কর্য,2020-12-27,২৭ ডিসেম্বর ২০২০,সংবাদ,মতামত,full_text_permitted,,,Original publication URL is not present in the archive record; investigate separately.
missing_original_url,folder-article-3642675a,‘চোর ধরেও চোর হয়ে যাচ্ছি’,2020-12-20,২০ ডিসেম্বর ২০২০,সংবাদ,মতামত,full_text_permitted,,,Original publication URL is not present in the archive record; investigate separately.
missing_original_url,folder-article-b2c34691,মুর্তি বনাম ভাস্কর্য,2020-12-13,১৩ ডিসেম্বর ২০২০,সংবাদ,মতামত,full_text_permitted,,,Original publication URL is not present in the archive record; investigate separately.
missing_original_url,folder-article-4ae0e31a,সাকিবের ক্ষমা প্রার্থনা,2020-12-06,৬ ডিসেম্বর ২০২০,সংবাদ,মতামত,full_text_permitted,,,Original publication URL is not present in the archive record; investigate separately.
missing_original_url,folder-article-d61cbeef,মুনীরুজ্জমান  অসাম্প্রদায়িক চেতনার প্রতিভূ,2020-11-29,২৯ নভেম্বর ২০২০,সংবাদ,মতামত,full_text_permitted,,,Original publication URL is not present in the archive record; investigate separately.
missing_original_url,folder-article-4140302c,আর্মেনিয়া-আজারবাইজানের যুদ্ধ,2020-11-22,২২ নভেম্বর ২০২০,সংবাদ,মতামত,full_text_permitted,,,Original publication URL is not present in the archive record; investigate separately.
missing_original_url,folder-article-c18b6480,মার্কিন যুক্তরাষ্ট্রের নির্বাচন,2020-11-15,১৫ নভেম্বর ২০২০,সংবাদ,মতামত,full_text_permitted,,,Original publication URL is not present in the archive record; investigate separately.
missing_original_url,folder-article-d5ab1954,উন্মত্ত জনতার উন্মাদনা,2020-11-08,৮ নভেম্বর ২০২০,সংবাদ,মতামত,full_text_permitted,,,Original publication URL is not present in the archive record; investigate separately.
missing_original_url,folder-article-8b19e19a,ঘৃণা ঘৃণার জন্ম দেয়,2020-11-01,১ নভেম্বর ২০২০,সংবাদ,মতামত,full_text_permitted,,,Original publication URL is not present in the archive record; investigate separately.
missing_original_url,folder-article-c5f35378,আল্লাহর দুনিয়ায় জমির অভাব নেই,2020-10-25,২৫ অক্টোবর ২০২০,সংবাদ,মতামত,full_text_permitted,,,Original publication URL is not present in the archive record; investigate separately.
